cve,rank,reports_submitted_count,epss
CVE-2013-5704,1416,2,0.46729
CVE-2013-5704,1416,2,0.46729
CVE-2013-5968,75,25,0.00253
CVE-2013-6048,2215,1,0.00322
CVE-2013-6359,2215,1,0.00694
CVE-2013-6359,2215,1,0.00694
CVE-2013-6407,749,6,0.00236
CVE-2013-6408,1098,3,0.00335
CVE-2013-6420,1416,2,0.94979
CVE-2013-6420,1416,2,0.94979
CVE-2013-6422,2215,1,0.00245
CVE-2013-6438,371,25,0.03544
CVE-2013-6450,2215,1,0.02488
CVE-2013-6919,2215,1,0.00246
CVE-2013-6919,2215,1,0.00246
CVE-2013-7078,2215,1,0.00259
CVE-2013-7285,2215,1,0.48314
CVE-2013-7341,1098,3,0.00254
CVE-2014-0015,2215,1,0.00752
CVE-2014-0038,2215,1,0.0006
CVE-2014-0038,2215,1,0.0006
CVE-2014-0081,2215,1,0.00207
CVE-2014-0081,2215,1,0.00207
CVE-2014-0081,2215,1,0.00207
CVE-2014-0088,2215,1,0.0149
CVE-2014-0094,810,5,0.97093
CVE-2014-0098,371,25,0.22388
CVE-2014-0114,1416,2,0.97314
CVE-2014-0117,631,8,0.96497
CVE-2014-0118,534,11,0.45891
CVE-2014-0133,403,20,0.03711
CVE-2014-0160,276,64,0.97354
CVE-2014-0165,2215,1,0.0013
CVE-2014-0198,2215,1,0.0409
CVE-2014-0207,2215,1,0.00853
CVE-2014-0214,2215,1,0.00718
CVE-2014-0224,297,54,0.97395
CVE-2014-0226,447,16,0.95583
CVE-2014-0230,1416,2,0.07321
CVE-2014-0230,1416,2,0.07321
CVE-2014-0231,382,23,0.24715
CVE-2014-0238,2215,1,0.09768
CVE-2014-0238,2215,1,0.09768
CVE-2014-0240,2215,1,0.00042
CVE-2014-0240,2215,1,0.00042
CVE-2014-0240,2215,1,0.00042
CVE-2014-0262,2215,1,0.00043
CVE-2014-0262,2215,1,0.00043
CVE-2014-0262,2215,1,0.00043
CVE-2014-0262,2215,1,0.00043
CVE-2014-0282,1416,2,0.96828
CVE-2014-0282,1416,2,0.96828
CVE-2014-0346,1416,2,0.00259
CVE-2014-0346,1416,2,0.00259
CVE-2014-0491,2215,1,0.01293
CVE-2014-0553,2215,1,0.02803
CVE-2014-0554,2215,1,0.36135
CVE-2014-0554,2215,1,0.36135
CVE-2014-0564,2215,1,0.01043
CVE-2014-1203,2215,1,0.02045
CVE-2014-1255,2215,1,0.00251
CVE-2014-1255,2215,1,0.00251
CVE-2014-1255,2215,1,0.00251
CVE-2014-1255,2215,1,0.00251
CVE-2014-1255,2215,1,0.00251
CVE-2014-1255,2215,1,0.00251
CVE-2014-1263,2215,1,0.00309
CVE-2014-1303,326,4,0.30137
CVE-2014-1372,2215,1,0.00042
CVE-2014-1372,2215,1,0.00042
CVE-2014-1377,2215,1,0.00755
CVE-2014-1391,2215,1,0.04042
CVE-2014-1391,2215,1,0.04042
CVE-2014-1491,2215,1,0.00378
CVE-2014-1610,1416,2,0.08324
CVE-2014-1610,1416,2,0.08324
CVE-2014-1610,1416,2,0.08324
CVE-2014-1692,685,7,0.04266
CVE-2014-1820,2215,1,0.03731
CVE-2014-1820,2215,1,0.03731
CVE-2014-1820,2215,1,0.03731
CVE-2014-1939,2215,1,0.00163
CVE-2014-1939,2215,1,0.00163
CVE-2014-1985,2215,1,0.00483
CVE-2014-2053,2215,1,0.00731
CVE-2014-2127,1416,2,0.00562
CVE-2014-2265,1416,2,0.00424
CVE-2014-2265,1416,2,0.00424
CVE-2014-2323,2215,1,0.96033
CVE-2014-2324,2215,1,0.95615
CVE-2014-2479,2215,1,0.03486
CVE-2014-2479,2215,1,0.03486
CVE-2014-2497,1098,3,0.00977
CVE-2014-2532,1416,2,0.00299
CVE-2014-2972,2215,1,0.00042
CVE-2014-3120,2215,1,0.53209
CVE-2014-3120,2215,1,0.53209
CVE-2014-3470,1416,2,0.96855
CVE-2014-3470,1416,2,0.96855
CVE-2014-3478,2215,1,0.15663
CVE-2014-3479,2215,1,0.0069
CVE-2014-3479,2215,1,0.0069
CVE-2014-3480,2215,1,0.0069
CVE-2014-3480,2215,1,0.0069
CVE-2014-3482,1416,2,0.0065
CVE-2014-3483,1416,2,0.00879
CVE-2014-3488,2215,1,0.01117
CVE-2014-3488,2215,1,0.01117
CVE-2014-3506,1416,2,0.887
CVE-2014-3507,2215,1,0.9282
CVE-2014-3507,2215,1,0.9282
CVE-2014-3508,1098,3,0.46956
CVE-2014-3509,2215,1,0.02401
CVE-2014-3509,2215,1,0.02401
CVE-2014-3510,1416,2,0.01574
CVE-2014-3511,2215,1,0.00713
CVE-2014-3511,2215,1,0.00713
CVE-2014-3512,2215,1,0.91239
CVE-2014-3512,2215,1,0.91239
CVE-2014-3512,2215,1,0.91239
CVE-2014-3512,2215,1,0.91239
CVE-2014-3513,2215,1,0.77242
CVE-2014-3515,1416,2,0.81443
CVE-2014-3515,1416,2,0.81443
CVE-2014-3524,57,43,0.00602
CVE-2014-3566,214,140,0.97488
CVE-2014-3568,1416,2,0.00547
CVE-2014-3570,1098,3,0.12266
CVE-2014-3571,2215,1,0.68118
CVE-2014-3571,2215,1,0.68118
CVE-2014-3572,1416,2,0.00567
CVE-2014-3575,1416,2,0.00212
CVE-2014-3575,1416,2,0.00212
CVE-2014-3577,2215,1,0.00436
CVE-2014-3577,2215,1,0.00436
